Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,2025,2026
Annandale,349-2191,499-2051,640-1910,737-1813,468-2082,524-2026,961-1588,1165-1385,940-1610,810-1738,534-2015,526-2023,314-2236,237-2322,165-2385,284-2146
Arlington Forest,1353-1187,1388-1162,1247-1303,1425-1125,1513-1037,1674-875,1618-932,1717-832,1625-925,1123-1427,1405-1144,1352-1198,1492-1057,1343-1222,1406-1144,1526-904
Brandywine,1104-1436,1363-1187,1450-1100,1334-1216,1276-1274,643-1907,896-1654,993-1557,1541-1009,1911-638,1895-653,1236-1312,487-2061,303-2248,437-2113,265-1679
Bren Mar-Edsall Park,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
Brookfield,1140-1400,1200-1350,940-1610,872-1678,1046-1504,890-1658,878-1672,691-1859,741-1809,1379-1169,758-1791,781-1765,883-1668,679-1871,686-1864,541-1403
Brookfield ,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
Broyhill Crest,98-1934,113-2437,104-2446,100-2450,105-2445,99-2451,113-2437,152-2398,235-2320,157-2393,171-2377,151-2397,150-2400,153-2398,106-2444,89-2341
Burke Station,556-1984,504-2046,458-2092,209-2341,205-2345,248-2301,447-2103,549-2001,532-2017,329-2220,346-2201,529-2021,546-2002,938-1613,831-1719,625-1805
Camelot,736-1804,984-1566,735-1815,830-1720,1113-1437,1198-1352,1327-1223,1347-1203,1658-892,994-1554,993-1556,1269-1280,1209-1340,1395-1159,965-1585,1109-1321
Canterbury Woods,1288-1252,907-1643,1129-1421,1007-1543,998-1552,870-1680,979-1571,1002-1548,698-1852,1000-1547,1702-847,1466-1083,1589-958,1735-817,1879-671,1227-717
Cardinal Hill,1847-693,1891-659,1855-695,2171-379,1905-645,1830-720,1876-674,1915-635,2093-457,2094-455,2056-492,2207-339,1847-703,1785-765,1686-864,1811-619
Chesterbrook,2536-4,2530-20,2541-9,2535-15,2534-16,2520-30,2544-5,2533-17,2545-5,2539-9,2523-26,2528-22,2520-30,2529-21,2518-32,2417-13
Commonwealth,1023-1517,797-1753,499-2051,470-2080,452-2098,276-2274,248-2302,264-2286,251-2299,207-2341,283-2266,444-2106,628-1922,851-1700,1033-1517,1312-1118
Cottontail,848-1692,1063-1487,1222-1328,1730-820,1760-790,1898-652,1687-863,1097-1453,1170-1379,765-1784,1477-1072,1568-982,1179-1369,1605-946,1264-1286,1400-1030
Country Club Hills,929-1611,1016-1534,1140-1410,1020-1530,1162-1388,1141-1409,1551-999,1811-739,1764-786,1657-893,1460-1088,1362-1187,1125-1425,1000-1550,679-1873,805-1625
Crosspointe,2231-309,2107-443,2001-549,1850-700,1964-586,2007-543,1874-676,2093-457,2203-347,2315-233,2352-198,2322-225,2337-210,2345-205,2351-200,2262-168
Daventry,604-1936,313-2237,256-2294,234-2316,408-2142,342-2207,342-2208,355-2195,435-2115,678-1887,1078-1471,1085-1465,943-1607,1060-1490,967-1583,752-1678
Dominion Hills,1050-1490,1388-1162,1306-1244,1398-1152,1548-1002,1782-768,1712-838,1629-921,1413-1137,1445-1105,1556-993,1597-951,1652-895,1693-857,1733-817,1796-634
Donaldson Run,2165-375,2285-265,2298-252,2138-412,2320-230,2263-286,2118-432,2297-253,2032-518,2402-147,2486-64,2441-107,2473-75,2435-115,2300-251,2046-384
