Year,Rank,Team,Average ELO,Average Ranking
2006,1,Overlee,3198.51,1.0
2006,2,Chesterbrook,3136.64,2.0
2006,3,Vienna Aquatic,3079.3,3.0
2006,4,Donaldson Run,2998.24,4.0
2006,5,Hamlet,2902.84,5.0
2006,6,Little Rocky Run,2794.31,6.36
2006,7,Tuckahoe,2776.27,7.09
2006,8,Lee Graham,2763.44,7.56
2006,9,Hunter Mill,2690.91,9.08
2006,10,Vienna Woods,2652.32,10.26
2006,11,Oakton,2631.16,10.99
2006,12,Fairfax Station,2613.58,11.66
2006,13,Sully Station,2541.86,13.04
2006,14,Sleepy Hollow B & R,2484.41,15.21
2006,15,South Run,2484.33,15.19
2006,16,Orange Hunt,2464.98,16.76
2006,17,Highlands Swim,2460.48,16.98
2006,18,McLean,2451.36,17.83
2006,19,Crosspointe,2449.99,17.84
2006,20,Virginia Run,2422.83,19.99
2006,21,Wakefield Chapel,2419.16,20.16
2006,22,Waynewood,2332.44,22.37
2006,23,Cardinal Hill,2319.24,22.98
2006,24,Fox Mill Woods,2291.07,24.12
2006,25,Pinecrest,2281.06,24.53
2006,26,High Point Pool,2205.92,26.0
2006,27,Dunn Loring,2059.14,27.94
2006,28,Mount Vernon Park,2047.72,28.76
2006,29,Ravensworth Farm,2034.88,29.69
2006,30,Riverside Gardens,2034.41,29.81
2006,31,Langley,2022.91,30.59
2006,32,Greenbriar,2008.57,31.9
2006,33,Kent Gardens,2005.86,32.27
2006,34,Villa Aquatic,1971.89,35.24
2006,35,Commonwealth,1968.27,35.14
2006,36,Sideburn Run,1966.88,35.42
2006,37,Hunt Valley,1953.51,36.44
2006,38,Poplar Tree,1937.39,37.41
2006,39,Fairfax,1922.97,38.45
2006,40,Mansion House,1869.68,40.22
2006,41,Poplar Heights,1844.78,41.1
2006,42,Dowden Terrace,1814.57,42.37
2006,43,Lakevale Estates,1807.16,42.93
2006,44,Hollin Meadows,1785.83,43.71
2006,45,Fairfax Club Estates,1764.84,44.66
2006,46,Brookfield,1703.07,45.96
2006,47,Sleepy Hollow Rec,1630.28,47.33
2006,48,Mantua,1605.25,48.32
2006,49,Walden Glen,1598.01,48.8
2006,50,Fox Hunt,1568.94,50.31
2006,51,Parliament,1560.27,50.79
2006,52,Canterbury Woods,1529.82,52.6
2006,53,Daventry,1526.32,52.82
2006,54,Country Club Hills,1507.85,53.91
2006,55,Fox Mill Estates,1504.16,54.15
2006,56,Dominion Hills,1447.04,56.24
2006,57,Sully Station II,1409.15,58.36
2006,58,Truro,1408.88,58.2
2006,59,Mosby Woods,1387.72,59.79
2006,60,Great Falls,1383.92,60.2
2006,61,Old Keene Mill,1377.98,60.59
2006,62,Forest Hollow,1375.85,60.89
2006,63,Springfield,1350.03,63.22
2006,64,Shouse Village,1333.61,64.63
2006,65,Lake Braddock,1326.95,64.98
2006,66,Arlington Forest,1321.29,65.69
2006,67,Holmes Run Acres,1315.62,66.03
2006,68,Highland Park,1298.38,67.32
2006,69,Rolling Hills,1258.48,68.82
2006,70,Hiddenbrook,1158.61,70.38
2006,71,Village West,1130.99,71.69
2006,72,Stratford,1128.01,71.81
2006,73,Fair Oaks,1114.01,72.56
2006,74,Rolling Forest,1087.25,73.9
2006,75,Hayfield Farm,1057.74,75.02
2006,76,Pleasant Valley,1039.59,75.74
2006,77,Little Hunting Park,979.63,77.8
2006,78,Newington Forest,974.14,78.07
2006,79,Camelot,971.02,78.16
2006,80,Long Branch,918.65,80.71
2006,81,Herndon,915.97,80.82
2006,82,Woodley,902.55,81.42
2006,83,Burke Station,852.51,83.12
2006,84,Rutherford,803.08,85.1
2006,85,Kings Ridge,802.08,85.18
2006,86,North Springfield,796.64,85.49
2006,87,Lincolnia Park,783.96,86.23
2006,88,Lakeview,738.36,87.97
2006,89,Brandywine,701.29,89.08
2006,90,Parklawn,681.7,89.85
2006,91,Annandale,636.49,91.1
2006,92,Cottontail,613.44,91.99
2006,93,Springboard,582.54,92.82
2006,94,Ilda Community,508.45,94.37
2006,95,Virginia Hills,499.43,94.62
2006,96,Somerset-Olde Creek,379.77,96.0
2006,97,Hollin Hills,312.8,97.08
2006,98,Broyhill Crest,283.01,97.92
2006,99,Laurel Hill,171.29,99.47
2006,100,Rolling Valley,166.43,99.53
2006,101,Edsall Park,95.7,101.0
2006,102,Pinewood Lake,16.48,102.0
2007,1,Overlee,3212.5,1.0
2007,2,Vienna Aquatic,3152.4,2.0
2007,3,Chesterbrook,3045.06,3.0
2007,4,Hamlet,2947.98,4.13
2007,5,Tuckahoe,2923.36,4.93
2007,6,Little Rocky Run,2885.57,5.94
2007,7,Lee Graham,2803.61,7.31
2007,8,Donaldson Run,2793.25,7.69
2007,9,Fairfax Station,2667.18,9.36
2007,10,Hunter Mill,2653.97,9.64
2007,11,McLean,2532.64,11.46
2007,12,Orange Hunt,2508.91,12.68
2007,13,Highlands Swim,2504.25,12.92
2007,14,Vienna Woods,2502.14,13.03
2007,15,Sully Station,2448.42,15.63
2007,16,Oakton,2435.01,16.29
2007,17,South Run,2431.07,16.53
2007,18,Crosspointe,2402.7,18.07
2007,19,Fox Mill Woods,2386.31,19.28
2007,20,Sleepy Hollow B & R,2371.35,20.21
2007,21,High Point Pool,2356.48,21.12
2007,22,Waynewood,2354.87,21.23
2007,23,Virginia Run,2325.85,22.83
2007,24,Langley,2303.32,23.74
2007,25,Mansion House,2239.08,25.69
2007,26,Cardinal Hill,2224.58,26.4
2007,27,Wakefield Chapel,2220.34,26.63
2007,28,Dunn Loring,2208.63,27.27
2007,29,Greenbriar,2121.82,29.08
2007,30,Fairfax,2078.2,30.08
2007,31,Pinecrest,2027.25,31.66
2007,32,Hunt Valley,2024.17,31.76
2007,33,Mount Vernon Park,2006.75,32.44
2007,34,Ravensworth Farm,1940.95,34.3
2007,35,Kent Gardens,1926.69,34.96
2007,36,Commonwealth,1894.4,36.2
2007,37,Fox Hunt,1876.09,37.09
2007,38,Brookfield,1848.37,38.8
2007,39,Riverside Gardens,1839.83,39.37
2007,40,Sideburn Run,1830.44,39.79
2007,41,Villa Aquatic,1818.52,40.98
2007,42,Parliament,1812.04,41.27
2007,43,Hollin Meadows,1784.04,43.0
2007,44,Poplar Heights,1770.91,43.69
2007,45,Lakevale Estates,1740.21,45.17
2007,46,Mantua,1723.93,46.14
2007,47,Dowden Terrace,1701.78,47.3
2007,48,Poplar Tree,1699.47,47.27
2007,49,Country Club Hills,1666.12,49.12
2007,50,Forest Hollow,1645.76,49.98
2007,51,Fox Mill Estates,1630.69,50.6
2007,52,Walden Glen,1579.91,51.95
2007,53,Dominion Hills,1524.36,53.74
2007,54,Highland Park,1513.22,54.51
2007,55,Shouse Village,1496.63,55.54
2007,56,Mosby Woods,1490.37,55.86
2007,57,Sully Station II,1483.15,56.51
2007,58,Truro,1464.88,57.63
2007,59,Arlington Forest,1440.66,59.13
2007,60,Canterbury Woods,1437.32,59.4
2007,61,Camelot,1401.94,60.78
2007,62,Sleepy Hollow Rec,1358.25,62.37
2007,63,Fairfax Club Estates,1341.06,63.03
2007,64,Holmes Run Acres,1315.73,64.25
2007,65,Fair Oaks,1304.75,64.76
2007,66,Rolling Forest,1284.61,65.92
2007,67,Daventry,1264.45,66.8
2007,68,Old Keene Mill,1229.25,68.35
2007,69,Little Hunting Park,1224.96,68.69
2007,70,Hayfield Farm,1183.64,70.28
2007,71,Lake Braddock,1181.34,70.44
2007,72,Burke Station,1068.26,72.77
2007,73,Long Branch,1065.91,72.84
2007,74,Rolling Hills,1049.84,73.58
2007,75,Rutherford,1005.52,75.03
2007,76,Woodley,974.41,76.38
2007,77,Stratford,940.38,78.77
2007,78,Springfield,939.26,78.81
2007,79,Newington Forest,937.97,78.85
2007,80,Hiddenbrook,934.61,79.14
2007,81,Pleasant Valley,932.1,79.52
2007,82,Springboard,889.23,82.67
2007,83,Parklawn,887.05,82.75
2007,84,Lakeview,870.56,83.71
2007,85,Great Falls,855.42,84.67
2007,86,Herndon,828.17,86.12
2007,87,Brandywine,811.96,86.68
2007,88,Cottontail,769.72,88.76
2007,89,Lincolnia Park,764.52,88.95
2007,90,Ilda Community,762.31,89.0
2007,91,Village West,672.57,91.37
2007,92,North Springfield,664.13,91.63
2007,93,Kings Ridge,581.23,93.0
2007,94,Annandale,454.3,94.03
2007,95,Somerset-Olde Creek,419.52,94.98
2007,96,Laurel Hill,375.44,95.99
2007,97,Virginia Hills,303.65,97.07
2007,98,Broyhill Crest,274.87,97.95
2007,99,Hollin Hills,239.63,98.98
2007,100,Rolling Valley,146.68,100.0
2007,101,Edsall Park,53.65,101.0
2007,102,Pinewood Lake,-42.76,102.0
2008,1,Overlee,3170.71,1.01
2008,2,Chesterbrook,3139.18,1.99
2008,3,Vienna Aquatic,2955.17,3.0
2008,4,Fairfax Station,2857.44,4.44
2008,5,Hamlet,2851.98,4.72
2008,6,Tuckahoe,2808.86,5.99
2008,7,Little Rocky Run,2784.02,6.86
2008,8,Hunter Mill,2734.43,8.09
2008,9,Oakton,2697.68,8.92
2008,10,Lee Graham,2638.85,10.01
2008,11,Donaldson Run,2594.85,11.33
2008,12,McLean,2579.19,11.85
2008,13,Vienna Woods,2545.86,12.79
2008,14,South Run,2465.5,14.07
2008,15,Highlands Swim,2409.46,15.85
2008,16,Crosspointe,2392.83,16.87
2008,17,Mansion House,2391.92,16.91
2008,18,Fairfax,2390.75,16.94
2008,19,High Point Pool,2366.11,18.36
2008,20,Wakefield Chapel,2292.75,20.9
2008,21,Cardinal Hill,2288.95,21.08
2008,22,Virginia Run,2267.26,22.26
2008,23,Mount Vernon Park,2255.62,23.23
2008,24,Fox Mill Woods,2232.82,24.87
2008,25,Dunn Loring,2227.83,25.34
2008,26,Sully Station,2224.81,25.45
2008,27,Pinecrest,2221.9,25.62
2008,28,Lakevale Estates,2196.55,27.26
2008,29,Waynewood,2135.77,29.2
2008,30,Orange Hunt,2106.9,29.97
2008,31,Greenbriar,2072.03,30.86
2008,32,Langley,2015.04,32.15
2008,33,Villa Aquatic,1985.04,32.89
2008,34,Ravensworth Farm,1947.76,33.95
2008,35,Dowden Terrace,1891.3,35.16
2008,36,Sleepy Hollow B & R,1863.56,35.89
2008,37,Hunt Valley,1812.79,37.32
2008,38,Mosby Woods,1790.4,38.64
2008,39,Brookfield,1777.47,39.36
2008,40,Fairfax Club Estates,1771.11,39.74
2008,41,Sideburn Run,1748.58,41.42
2008,42,Riverside Gardens,1745.22,41.64
2008,43,Walden Glen,1720.99,43.71
2008,44,Mantua,1703.69,45.05
2008,45,Daventry,1696.32,45.78
2008,46,Fox Hunt,1695.64,45.96
2008,47,Highland Park,1692.61,45.98
2008,48,Kent Gardens,1687.5,46.58
2008,49,Parliament,1654.86,49.01
2008,50,Poplar Tree,1649.12,49.4
2008,51,Commonwealth,1623.59,50.77
2008,52,Fox Mill Estates,1594.97,52.46
2008,53,Hollin Meadows,1579.18,53.49
2008,54,Poplar Heights,1573.13,53.88
2008,55,Forest Hollow,1547.22,55.82
2008,56,Sully Station II,1542.49,56.13
2008,57,Shouse Village,1526.32,57.44
2008,58,Canterbury Woods,1519.78,57.98
