First Team,First Week,Second Team,Second Week,Score
Annandale,Week5,Springboard,Week4,266.0 Springboard - 98.0 Annandale
Arlington Forest,Week4,Lake Braddock,Week1,328.0 Arlington Forest - 92.0 Lake Braddock
Annandale,Week3,Greenbriar,Week3,306.0 Greenbriar - 72.0 Annandale
Annandale,Week4,Greenbriar,Week5,245.0 Greenbriar - 73.0 Annandale
Arlington Forest,Week5,Forest Hollow,Week4,236.5 Arlington Forest - 183.5 Forest Hollow
Annandale,Week1,McLean,Week3,324.0 McLean - 54.0 Annandale
Annandale,Week5,Arlington Forest,Week2,253.0 Arlington Forest - 112.0 Annandale
Annandale,Week4,Springboard,Week1,237.0 Springboard - 80.0 Annandale
Annandale,Week1,McLean,Week5,325.0 McLean - 53.0 Annandale
Arlington Forest,Week3,Sleepy Hollow B & R,Week5,233.0 Sleepy Hollow B & R - 187.0 Arlington Forest
Arlington Forest,Week1,Fox Hunt,Week5,305.0 Fox Hunt - 115.0 Arlington Forest
Arlington Forest,Week3,Sideburn Run,Week1,286.0 Arlington Forest - 130.0 Sideburn Run
Annandale,Week1,Broyhill Crest,Week5,254.5 Annandale - 120.5 Broyhill Crest
Arlington Forest,Week5,Lakevale Estates,Week1,275.0 Arlington Forest - 144.0 Lakevale Estates
Arlington Forest,Week3,Lakevale Estates,Week1,243.5 Arlington Forest - 174.5 Lakevale Estates
Arlington Forest,Week5,Shouse Village,Week1,257.0 Arlington Forest - 162.0 Shouse Village
Annandale,Week3,Springboard,Week4,283.0 Springboard - 93.0 Annandale
Annandale,Week4,Broyhill Crest,Week4,193.0 Annandale - 124.0 Broyhill Crest
Annandale,Week3,Mantua,Week3,295.0 Mantua - 82.0 Annandale
Annandale,Week3,Greenbriar,Week4,304.0 Greenbriar - 73.0 Annandale
Annandale,Week1,Hamlet,Week4,279.0 Hamlet - 98.0 Annandale
Arlington Forest,Week1,Sideburn Run,Week3,307.5 Arlington Forest - 111.5 Sideburn Run
Annandale,Week3,Springboard,Week2,275.0 Springboard - 99.0 Annandale
Annandale,Week2,Springboard,Week4,290.0 Springboard - 78.0 Annandale
Arlington Forest,Week4,Shouse Village,Week2,260.0 Arlington Forest - 160.0 Shouse Village
Arlington Forest,Week2,Sideburn Run,Week1,281.0 Arlington Forest - 137.0 Sideburn Run
Annandale,Week3,Broyhill Crest,Week2,266.0 Annandale - 105.0 Broyhill Crest
Annandale,Week1,Hamlet,Week5,300.0 Hamlet - 77.0 Annandale
Annandale,Week5,Mantua,Week3,268.0 Mantua - 96.0 Annandale
Arlington Forest,Week3,Lake Braddock,Week2,319.0 Arlington Forest - 101.0 Lake Braddock
Annandale,Week5,Springboard,Week2,263.0 Springboard - 98.0 Annandale
Annandale,Week1,Mantua,Week5,317.0 Mantua - 61.0 Annandale
Annandale,Week5,Springboard,Week1,254.0 Springboard - 105.0 Annandale
Arlington Forest,Week2,Canterbury Woods,Week2,234.0 Canterbury Woods - 186.0 Arlington Forest
Annandale,Week5,South Run,Week4,253.0 South Run - 111.0 Annandale
Annandale,Week4,Mantua,Week3,252.0 Mantua - 67.0 Annandale
Annandale,Week3,Mantua,Week4,288.0 Mantua - 89.0 Annandale
Annandale,Week2,Greenbriar,Week3,316.0 Greenbriar - 52.0 Annandale
Annandale,Week5,McLean,Week2,274.0 McLean - 90.0 Annandale
Arlington Forest,Week1,Lakevale Estates,Week5,229.0 Arlington Forest - 190.0 Lakevale Estates
Arlington Forest,Week5,Lakevale Estates,Week3,273.0 Arlington Forest - 142.0 Lakevale Estates
Annandale,Week2,Broyhill Crest,Week3,180.0 Annandale - 180.0 Broyhill Crest
Arlington Forest,Week3,Lake Braddock,Week4,292.0 Arlington Forest - 127.0 Lake Braddock
Annandale,Week2,Mantua,Week4,308.0 Mantua - 59.0 Annandale
Arlington Forest,Week3,Sideburn Run,Week3,284.5 Arlington Forest - 131.5 Sideburn Run
Arlington Forest,Week2,Lakevale Estates,Week2,233.0 Arlington Forest - 185.0 Lakevale Estates
Arlington Forest,Week3,Lake Braddock,Week1,326.0 Arlington Forest - 94.0 Lake Braddock
Annandale,Week4,Greenbriar,Week1,252.0 Greenbriar - 67.0 Annandale
Arlington Forest,Week1,Canterbury Woods,Week4,207.0 Canterbury Woods - 204.0 Arlington Forest
Annandale,Week4,McLean,Week3,263.0 McLean - 56.0 Annandale
Annandale,Week4,Arlington Forest,Week2,230.0 Arlington Forest - 89.0 Annandale
Arlington Forest,Week5,Sideburn Run,Week5,284.0 Arlington Forest - 135.0 Sideburn Run
Arlington Forest,Week2,Sideburn Run,Week5,265.0 Arlington Forest - 155.0 Sideburn Run
Annandale,Week5,Greenbriar,Week5,269.0 Greenbriar - 91.0 Annandale
Arlington Forest,Week3,Sleepy Hollow B & R,Week2,234.0 Sleepy Hollow B & R - 185.0 Arlington Forest
Arlington Forest,Week5,Lake Braddock,Week2,335.0 Arlington Forest - 84.0 Lake Braddock
Arlington Forest,Week1,Sideburn Run,Week4,295.0 Arlington Forest - 125.0 Sideburn Run
Annandale,Week2,Broyhill Crest,Week2,228.0 Annandale - 130.0 Broyhill Crest
Annandale,Week4,Mantua,Week4,255.0 Mantua - 64.0 Annandale
Annandale,Week4,McLean,Week5,264.0 McLean - 55.0 Annandale
Arlington Forest,Week5,Shouse Village,Week2,268.0 Arlington Forest - 152.0 Shouse Village
Annandale,Week2,Greenbriar,Week1,301.0 Greenbriar - 66.0 Annandale
Annandale,Week1,Broyhill Crest,Week3,220.0 Annandale - 154.0 Broyhill Crest
Arlington Forest,Week1,Canterbury Woods,Week5,216.0 Arlington Forest - 204.0 Canterbury Woods
Annandale,Week3,Greenbriar,Week1,301.0 Greenbriar - 76.0 Annandale
Annandale,Week2,Springboard,Week2,285.0 Springboard - 78.0 Annandale
Annandale,Week1,Springfield,Week5,205.0 Annandale - 135.0 Springfield
Annandale,Week2,Mantua,Week5,312.0 Mantua - 57.0 Annandale
Annandale,Week4,Arlington Forest,Week5,247.0 Arlington Forest - 71.0 Annandale
Annandale,Week3,Broyhill Crest,Week1,272.0 Annandale - 103.0 Broyhill Crest
Arlington Forest,Week4,Sideburn Run,Week5,264.0 Arlington Forest - 156.0 Sideburn Run
Annandale,Week3,Springboard,Week5,299.0 Springboard - 79.0 Annandale
Arlington Forest,Week3,Lakevale Estates,Week4,273.0 Arlington Forest - 145.0 Lakevale Estates
Annandale,Week5,South Run,Week1,243.0 South Run - 118.0 Annandale
Annandale,Week5,Mantua,Week5,282.0 Mantua - 82.0 Annandale
Arlington Forest,Week5,Lake Braddock,Week5,321.0 Arlington Forest - 99.0 Lake Braddock
Annandale,Week3,Mantua,Week2,293.0 Mantua - 84.0 Annandale
Annandale,Week2,Arlington Forest,Week2,274.0 Arlington Forest - 90.0 Annandale
Annandale,Week2,Greenbriar,Week5,285.0 Greenbriar - 78.0 Annandale
Arlington Forest,Week4,Sideburn Run,Week2,282.0 Arlington Forest - 138.0 Sideburn Run
Arlington Forest,Week2,Lakevale Estates,Week3,256.0 Arlington Forest - 164.0 Lakevale Estates
Arlington Forest,Week3,Lakevale Estates,Week3,262.0 Arlington Forest - 156.0 Lakevale Estates
Annandale,Week4,Brookfield ,Week5,206.0 Brookfield - 111.0 Annandale
Arlington Forest,Week2,Canterbury Woods,Week1,215.0 Canterbury Woods - 205.0 Arlington Forest
Annandale,Week4,Arlington Forest,Week1,233.0 Arlington Forest - 86.0 Annandale
Annandale,Week1,Greenbriar,Week5,292.0 Greenbriar - 83.0 Annandale
Annandale,Week5,Arlington Forest,Week1,256.0 Arlington Forest - 108.0 Annandale
Annandale,Week2,Hamlet,Week1,251.0 Hamlet - 112.0 Annandale
Arlington Forest,Week4,Lakevale Estates,Week4,270.5 Arlington Forest - 149.5 Lakevale Estates
Arlington Forest,Week1,Sleepy Hollow B & R,Week5,229.0 Sleepy Hollow B & R - 191.0 Arlington Forest
Annandale,Week3,Springboard,Week3,266.0 Springboard - 108.0 Annandale
Annandale,Week4,Springboard,Week4,248.0 Springboard - 70.0 Annandale
Annandale,Week2,Greenbriar,Week4,311.0 Greenbriar - 56.0 Annandale
Annandale,Week5,Brookfield ,Week4,213.0 Brookfield - 147.0 Annandale
Annandale,Week5,Greenbriar,Week2,266.0 Greenbriar - 98.0 Annandale
Annandale,Week2,Springboard,Week3,281.0 Springboard - 82.0 Annandale
Arlington Forest,Week2,Lakevale Estates,Week5,235.0 Arlington Forest - 184.0 Lakevale Estates
Annandale,Week4,Springboard,Week3,240.0 Springboard - 78.0 Annandale
Arlington Forest,Week5,Forest Hollow,Week1,273.0 Arlington Forest - 147.0 Forest Hollow
Annandale,Week5,Mantua,Week4,269.0 Mantua - 95.0 Annandale
Annandale,Week4,Greenbriar,Week4,265.0 Greenbriar - 54.0 Annandale
Annandale,Week4,Broyhill Crest,Week1,211.0 Annandale - 102.0 Broyhill Crest
Annandale,Week5,Mantua,Week2,271.0 Mantua - 93.0 Annandale
Arlington Forest,Week2,Sideburn Run,Week2,279.0 Arlington Forest - 141.0 Sideburn Run
Annandale,Week1,Hamlet,Week3,295.0 Hamlet - 78.0 Annandale
Annandale,Week4,Mantua,Week1,246.0 Mantua - 69.0 Annandale
Annandale,Week2,Broyhill Crest,Week4,206.0 Annandale - 153.0 Broyhill Crest
Arlington Forest,Week3,Fox Hunt,Week5,326.0 Fox Hunt - 94.0 Arlington Forest
Arlington Forest,Week4,Lakevale Estates,Week2,243.0 Arlington Forest - 175.0 Lakevale Estates
Arlington Forest,Week4,Lakevale Estates,Week5,241.0 Arlington Forest - 179.0 Lakevale Estates
Arlington Forest,Week3,Sideburn Run,Week2,284.0 Arlington Forest - 134.0 Sideburn Run
Arlington Forest,Week2,Fox Hunt,Week1,285.0 Fox Hunt - 135.0 Arlington Forest
Annandale,Week1,Springfield,Week2,210.0 Annandale - 117.0 Springfield
Annandale,Week5,Springboard,Week5,278.0 Springboard - 86.0 Annandale
Annandale,Week2,Hamlet,Week2,278.5 Hamlet - 88.5 Annandale
Annandale,Week4,Brookfield ,Week4,204.0 Brookfield - 114.0 Annandale
Arlington Forest,Week2,Lakeview,Week3,217.0 Lakeview - 185.0 Arlington Forest
Arlington Forest,Week5,Sideburn Run,Week1,303.0 Arlington Forest - 111.0 Sideburn Run
Arlington Forest,Week5,Fox Hunt,Week3,264.0 Fox Hunt - 156.0 Arlington Forest
Annandale,Week2,Springfield,Week1,197.0 Annandale - 112.0 Springfield
Annandale,Week1,McLean,Week1,299.0 McLean - 79.0 Annandale
Annandale,Week3,Greenbriar,Week2,286.0 Greenbriar - 92.0 Annandale
Arlington Forest,Week3,Fox Hunt,Week1,273.5 Fox Hunt - 146.5 Arlington Forest
Annandale,Week2,Hamlet,Week3,293.0 Hamlet - 69.0 Annandale
Annandale,Week1,McLean,Week2,311.0 McLean - 67.0 Annandale
Annandale,Week5,Brookfield ,Week5,218.0 Brookfield - 141.0 Annandale
Arlington Forest,Week4,Sideburn Run,Week1,281.0 Arlington Forest - 137.0 Sideburn Run
Arlington Forest,Week2,Lakeview,Week2,235.0 Lakeview - 184.0 Arlington Forest
Arlington Forest,Week4,Fox Hunt,Week1,280.0 Fox Hunt - 140.0 Arlington Forest
Arlington Forest,Week2,Lakeview,Week4,228.5 Lakeview - 191.5 Arlington Forest
Arlington Forest,Week5,Sideburn Run,Week4,308.0 Arlington Forest - 111.0 Sideburn Run
Arlington Forest,Week5,Sideburn Run,Week2,294.0 Arlington Forest - 121.0 Sideburn Run
Annandale,Week4,Greenbriar,Week2,250.0 Greenbriar - 69.0 Annandale
Arlington Forest,Week5,Lakevale Estates,Week4,287.0 Arlington Forest - 128.0 Lakevale Estates
Arlington Forest,Week5,Sideburn Run,Week3,318.0 Arlington Forest - 100.0 Sideburn Run
Annandale,Week2,Springfield,Week5,186.0 Annandale - 147.0 Springfield
Arlington Forest,Week3,Fox Hunt,Week3,293.0 Fox Hunt - 127.0 Arlington Forest
Annandale,Week3,Broyhill Crest,Week3,229.0 Annandale - 145.0 Broyhill Crest
Arlington Forest,Week1,Lakeview,Week5,250.0 Lakeview - 170.0 Arlington Forest
Annandale,Week4,Mantua,Week5,260.0 Mantua - 59.0 Annandale
Arlington Forest,Week1,Sleepy Hollow B & R,Week1,216.0 Sleepy Hollow B & R - 204.0 Arlington Forest
Arlington Forest,Week1,Fox Hunt,Week3,267.0 Fox Hunt - 153.0 Arlington Forest
Arlington Forest,Week1,Lakeview,Week3,214.0 Lakeview - 188.0 Arlington Forest
Annandale,Week4,Springfield,Week2,181.0 Annandale - 105.0 Springfield
Annandale,Week1,Greenbriar,Week4,313.0 Greenbriar - 65.0 Annandale
Annandale,Week2,Broyhill Crest,Week1,251.0 Annandale - 108.0 Broyhill Crest
Arlington Forest,Week1,Fox Mill Estates,Week5,322.0 Arlington Forest - 97.0 Fox Mill Estates
Annandale,Week2,McLean,Week2,312.0 McLean - 56.0 Annandale
Arlington Forest,Week2,Lakeview,Week5,244.5 Lakeview - 175.5 Arlington Forest
Annandale,Week2,Mantua,Week3,305.0 Mantua - 59.0 Annandale
Annandale,Week3,Mantua,Week5,296.0 Mantua - 82.0 Annandale
Annandale,Week1,Broyhill Crest,Week2,264.0 Annandale - 109.0 Broyhill Crest
Annandale,Week3,Springfield,Week1,206.0 Annandale - 113.0 Springfield
Annandale,Week3,McLean,Week2,296.0 McLean - 81.0 Annandale
Annandale,Week2,Greenbriar,Week2,299.0 Greenbriar - 70.0 Annandale
Annandale,Week2,McLean,Week1,302.0 McLean - 65.0 Annandale
Arlington Forest,Week2,Sleepy Hollow B & R,Week4,224.0 Sleepy Hollow B & R - 196.0 Arlington Forest
Annandale,Week4,Broyhill Crest,Week2,220.0 Annandale - 96.0 Broyhill Crest
Annandale,Week3,Broyhill Crest,Week5,246.0 Annandale - 127.0 Broyhill Crest
Annandale,Week3,McLean,Week3,313.0 McLean - 65.0 Annandale
Annandale,Week4,Springfield,Week5,185.0 Annandale - 111.0 Springfield
Annandale,Week2,Hamlet,Week4,278.0 Hamlet - 89.0 Annandale
Annandale,Week1,Hamlet,Week1,256.0 Hamlet - 120.0 Annandale
Annandale,Week2,McLean,Week4,307.0 McLean - 61.0 Annandale
Arlington Forest,Week2,Fox Mill Estates,Week4,340.0 Arlington Forest - 80.0 Fox Mill Estates
Annandale,Week5,Brookfield ,Week1,196.0 Brookfield - 162.0 Annandale
Annandale,Week5,Springfield,Week1,211.0 Annandale - 107.0 Springfield
Annandale,Week5,Brookfield ,Week2,202.0 Brookfield - 157.0 Annandale
Annandale,Week5,Greenbriar,Week3,289.0 Greenbriar - 76.0 Annandale
Arlington Forest,Week5,Sleepy Hollow B & R,Week5,214.0 Sleepy Hollow B & R - 205.0 Arlington Forest
Arlington Forest,Week2,Fox Hunt,Week4,286.5 Fox Hunt - 133.5 Arlington Forest
Arlington Forest,Week5,Forest Hollow,Week2,253.0 Arlington Forest - 167.0 Forest Hollow
Arlington Forest,Week5,Lakevale Estates,Week5,245.0 Arlington Forest - 174.0 Lakevale Estates
Annandale,Week2,Broyhill Crest,Week5,216.0 Annandale - 142.0 Broyhill Crest
Annandale,Week5,Springfield,Week5,207.0 Annandale - 122.0 Springfield
Annandale,Week2,Springfield,Week4,194.0 Annandale - 149.0 Springfield
Arlington Forest,Week5,Lakevale Estates,Week2,246.0 Arlington Forest - 168.0 Lakevale Estates
Arlington Forest,Week4,Lakevale Estates,Week3,273.0 Arlington Forest - 147.0 Lakevale Estates
Arlington Forest,Week3,Fox Hunt,Week2,284.0 Fox Hunt - 136.0 Arlington Forest
Annandale,Week3,Broyhill Crest,Week4,233.0 Annandale - 140.0 Broyhill Crest
Annandale,Week1,Hamlet,Week2,281.0 Hamlet - 95.0 Annandale
Annandale,Week1,Broyhill Crest,Week1,272.0 Annandale - 100.0 Broyhill Crest
Annandale,Week5,Greenbriar,Week1,280.0 Greenbriar - 84.0 Annandale
Arlington Forest,Week3,Sleepy Hollow B & R,Week3,230.5 Sleepy Hollow B & R - 189.5 Arlington Forest
Arlington Forest,Week2,Sleepy Hollow B & R,Week5,228.0 Sleepy Hollow B & R - 192.0 Arlington Forest
Arlington Forest,Week1,Sleepy Hollow B & R,Week4,224.0 Sleepy Hollow B & R - 196.0 Arlington Forest
Arlington Forest,Week2,Sleepy Hollow B & R,Week3,229.0 Sleepy Hollow B & R - 191.0 Arlington Forest
Arlington Forest,Week4,Lakevale Estates,Week1,255.0 Arlington Forest - 165.0 Lakevale Estates
Annandale,Week2,McLean,Week5,326.0 McLean - 43.0 Annandale
Annandale,Week1,Stratford,Week1,265.0 Stratford - 111.0 Annandale
Arlington Forest,Week1,Fox Hunt,Week2,274.0 Fox Hunt - 146.0 Arlington Forest
Annandale,Week3,Greenbriar,Week5,275.0 Greenbriar - 101.0 Annandale
Annandale,Week1,Stratford,Week5,260.0 Stratford - 107.0 Annandale
Annandale,Week3,McLean,Week1,283.0 McLean - 94.0 Annandale
Arlington Forest,Week1,Lakeview,Week4,239.0 Lakeview - 181.0 Arlington Forest
Annandale,Week4,Greenbriar,Week3,268.0 Greenbriar - 51.0 Annandale
Annandale,Week4,Broyhill Crest,Week3,186.0 Annandale - 131.0 Broyhill Crest
